PRODUCT_NAME,BARCODE_NUMBER,MRP_PRICE,PRODUCT_IMAGE_LINK
"Kellogg's Pringles Desi Masala Tadka, 107g",,94.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71ckbppgk7l._sl1500__1_.jpg
"Amul Belgian Milk Chocolate, 125g",8901262071017,135.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071017.jpg
"Amul Bitter 90% Chocolate, 150g",8901262071130,110.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071130.jpg
"Amul Mystic Mocha Chocolate Bar, 150g",8901262070829,110.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262070829.jpg
"Amul Fruit N Nut I Love You, 55% Rich in Cocoa, 150g",8901262071543,95.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071543.jpg
Amul India Single Origin Dark Chocolate 125g,8901262071703,75.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi41k8iupiuel.jpg
"Amul Processed Cheese EOE Tin, 400g",8901262020022,194.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi512pbhqe0sl.jpg
"Amul Sugar Free Dark Chocolate, 150g",8901262071048,110.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi41g1qagbwgl.jpg
"Amul Tropical Orange Chocolate, 150g",8901262070843,110.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi41m3nfezhml.jpg
"Cadbury Bournvita Biscuits Tiffin Pack,250g",8901233023526,52.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi51psddmwc2l.jpg
"Cadbury Bournvita Biscuits, 120g",7622201137588,26.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi41gmcsfggal.jpg
Dabur Hajmola Jar - 160 Sachets (Regular),,152.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi41mpgyibzul.jpg
"Dukes Waffy Rolls Tin, Chocolate, 300g",8906009803203,199.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi41a9sg0ejnl.jpg
"Nestle Chocolate - Kit Kat, 128g Pack",8901058868012,95.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/h/t/httpecx.images-amazon.comimagesi51d02p87kdl.jpg
"Amul Milk Chocolate Bar, 150g",8901262070430,90.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262070430.jpg
"Cadbury Dark Milk Chocolate Bar, 72g",,87.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/c/1/c1_1.jpg
"Cadbury Dairy Milk Silk Special Valentine Gift Pack, 300 g",8901233033570,300.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/_/1_3_5.jpg
"Cadbury Dairy Milk Silk Valentine Chocolate Bar, 150 g",8901233033501,140.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/1/_/1.2_7_1.jpg
"Cadbury Dairy Milk Silk Plain, 60g",8901233034188,61.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71msufh5lxl._sl1500_.jpg
"Cadbury Dairy Milk Silk Hazelnut Chocolate Bar, 58g",8901233031446,61.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71f2dsg2l_l._sl1500_.jpg
"Cadbury Dairy Milk Silk Hazelnut Chocolate Bar, 143g",8901233031460,140.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71szfn8vq_l._sl1500_.jpg
"Cadbury Dairy Milk Silk Valentine Chocolate Bar, 60g",8901233033488,61.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/7/1/71alrmw2vgl._sl1500_.jpg
"Cadbury Dairy Milk Crispello Chocolate Bar, 35g",7622201141585,28.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/c/c/ccc.jpg
"Cadbury Dairy Milk Chocolate Bar, 12g",8901233035956,8.80,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61gmtq6mykl._sl1500_.jpg
"Cadbury Dairy Milk Chocolate Bar, 6.6g",8901233030517,4.40,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/6/1/61hgmzl8vxl._sl1500_.jpg
